name,of,at,in,title,tags,body,see
Financial advantage,CA00,192D,P4AA'D1,Obtaining financial advantage or causing financial disadvantage,def,"(1)  In this Part, obtain a financial advantage includes:
(a)  obtain a financial advantage for oneself or for another person, and
(b)  induce a third person to do something that results in oneself or another person obtaining a financial advantage, and
(c)  keep a financial advantage that one has, whether the financial advantage is permanent or temporary.
(2)  In this Part, cause a financial disadvantage means:
(a)  cause a financial disadvantage to another person, or
(b)  induce a third person to do something that results in another person suffering a financial disadvantage,
whether the financial disadvantage is permanent or temporary.",
False document,CA00,250,P5'D1,False document—meaning,def,"(1)  For the purposes of this Part, a document is false if, and only if, the document (or any part of the document) purports:
(a)  to have been made in the form in which it is made by a person who did not in fact make it in that form, or
(b)  to have been made in the form in which it is made on the authority of a person who did not in fact authorise its making in that form, or
(c)  to have been made in the terms in which it is made by a person who did not in fact make it in those terms, or
(d)  to have been made in the terms in which it is made on the authority of a person who did not in fact authorise its making in those terms, or
(e)  to have been altered in any respect by a person who did not in fact alter it in that respect, or
(f)  to have been altered in any respect on the authority of a person who did not in fact authorise its alteration in that respect, or
(g)  to have been made or altered on a date on which, or at a place at which, or otherwise in circumstances in which, it was not in fact made or altered, or
(h)  to have been made or altered by, or on the authority of, a person who did not in fact exist.
(2)  For the purposes of this Part, a person is to be treated as making a false document if the person alters a document so as to make it false within the meaning of this section (whether or not it is false in some other respect apart from that alteration).
(3)  For the purpose of the application of this section, a document that purports to be a true copy of another document is to be treated as if it were the original document.",
Make false document,CA00,253,P5'D2,Forgery—making false document,offence,"A person who makes a false document with the intention that the person or another will use it:
(a)  to induce some person to accept it as genuine, and
(b)  because of its being accepted as genuine:
(i)  to obtain any property belonging to another, or
(ii)  to obtain any financial advantage or cause any financial disadvantage, or
(iii)  to influence the exercise of a public duty,
is guilty of the offence of forgery.",False document
Use false document,CA00,254,P5'D3,Using false document,offence,"A person who uses a false document, knowing that it is false, with the intention of:
(a)  inducing some person to accept it as genuine, and
(b)  because of its being accepted as genuine:
(i)  obtaining any property belonging to another, or
(ii)  obtaining any financial advantage or causing any financial disadvantage, or
(iii)  influencing the exercise of a public duty,

is guilty of an offence.",False document
False accusation,CA00,314,P7'D2,False accusations etc,offence,"A person who makes an accusation intending a person to be the subject of an investigation of an offence, knowing that other person to be innocent of the offence, is liable to imprisonment for 7 years.",
Judicial misleading,CA00,317,P7'D2,Tampering etc with evidence,offence,"A person who, with intent to mislead any judicial tribunal in any judicial proceeding:
(a)  suppresses, conceals, destroys, alters or falsifies anything knowing that it is or may be required as evidence in any judicial proceeding, or
(b)  fabricates false evidence (other than by perjury or suborning perjury), or
(c)  knowingly makes use of fabricated false evidence,
is liable to imprisonment for 10 years.",
Pervert justice,CA00,319,P7'D2,General offence of perverting the course of justice,offence,"A person who does any act, or makes any omission, intending in any way to pervert the course of justice, is liable to",
Perjury,CA00,327,P7'D4,Offence of perjury,offence,"(1)  Any person who in or in connection with any judicial proceeding makes any false statement on oath concerning any matter which is material to the proceeding, knowing the statement to be false or not believing it to be true, is guilty of perjury and liable to imprisonment for 10 years.
(2)  A statement can be considered to have been made in connection with a judicial proceeding whether or not a judicial proceeding has commenced, or ever commences, in connection with it.
(3)  The determination of whether a statement is material to a judicial proceeding that has not commenced is to be made on the basis of any judicial proceeding likely to arise in connection with the statement.

(4)  The question of whether any matter is material to a proceeding is a question of law.",
False testimony,CA00,335,P7'D4,False statements in evidence on commission,offence,"If a person, in giving any testimony (either orally or in writing) otherwise than on oath, when required to do so by an order under section 33 (Power of the Supreme Court to give effect to application for assistance) of the Evidence on Commission Act 1995, makes any statement that is false in a material particular, knowing the statement to be false or not believing it to be true, is liable to imprisonment for 5 years.",
Self defence,CA00,418,P11'D3,Self-defence—when available,offence,"(1)  A person is not criminally responsible for an offence if the person carries out the conduct constituting the offence in self-defence.
(2)  A person carries out conduct in self-defence if and only if the person believes the conduct is necessary:
(a)  to defend himself or herself or another person, or
(b)  to prevent or terminate the unlawful deprivation of his or her liberty or the liberty of another person, or
(c)  to protect property from unlawful taking, destruction, damage or interference, or
(d)  to prevent criminal trespass to any land or premises or to remove a person committing any such criminal trespass,

and the conduct is a reasonable response in the circumstances as he or she perceives them",
Lawful self-defence,CA00,422,P11'D3,Self-defence—response to lawful conduct,offence,"This Division is not excluded merely because:
(a)  the conduct to which the person responds is lawful, or
(b)  the other person carrying out the conduct to which the person responds is not criminally responsible for it.",
Criminal defamation,CA00,529,P14A'D2,Criminal defamation,offence,"(1) Common law misdemeanour of criminal libel abolished The common law misdemeanour of criminal libel remains abolished.
(2) Blasphemous, seditious or obscene libel not affected Subsection (1) does not affect the law relating to blasphemous, seditious or obscene libel.
(3) Offence of criminal defamation A person who, without lawful excuse, publishes matter defamatory of another living person (the victim):
(a)  knowing the matter to be false, and
(b)  with intent to cause serious harm to the victim or any other person or being reckless as to whether such harm is caused,
is guilty of an offence.
Maximum penalty: 3 years imprisonment.
(4) Lawful excuse A defendant in proceedings for an offence under this section has a lawful excuse for the publication of defamatory matter about the victim if, and only if, the defendant would, having regard only to the circumstances happening before or at the time of the publication, have had a defence for the publication if the victim had brought civil proceedings for defamation against the defendant.
(5) Prosecution to negative lawful excuse The prosecution bears the onus of negativing the existence of a lawful excuse if, and only if, evidence directed to establishing the excuse is first adduced by or on behalf of the defendant.
(6) Functions of jury On a trial before a jury for an offence under this section:
(a)  the question of whether the matter complained of is capable of bearing a defamatory meaning is a question for determination by the judicial officer presiding, and
(b)  the question of whether the matter complained of does bear a defamatory meaning is a question for the jury, and
(c)  the jury may give a general verdict of guilty or not guilty on the issues as a whole.
(7) DPP to consent to proceedings Proceedings in a court for an offence under this section cannot be instituted without the written consent of the Director of Public Prosecutions.
(8) Evidence of consent of DPP In those proceedings, a consent purporting to have been signed by the Director of Public Prosecutions is, without proof of the signature, evidence of that consent.
(9) Proceedings for an offence do not bar civil proceedings The commencement of criminal proceedings for an offence under this section does not prevent:
(a)  the commencement of civil proceedings for defamation against the defendant in the criminal proceedings, or
(b)  the determination of the civil proceedings pending the determination of the criminal proceedings.
(10) Proof of convictions for offences If the question whether or not a person committed an offence (other than offence under this section) arises in proceedings for an offence under this section, section 42 of the Defamation Act 2005 applies to the proof of the commission of that offence in the same way as it applies to such proof in civil proceedings for defamation.
(11) Interpretation In this section, publish and defamatory have the meanings that they have in the law of tort (as modified by the Defamation Act 2005) relating to defamation.
",
Intimidation annoyance ,CA00,545B,P14A'D2,Intimidation or annoyance by violence or otherwise,offence,"(1)  Whosoever:
(a)  with a view to compel any other person to abstain from doing or to do any act which such other person has a legal right to do or abstain from doing, or
(b)  in consequence of such other person having done any act which he had a legal right to do, or of his having abstained from doing any act which he had a legal right to abstain from doing,
wrongfully and without legal authority:
(i)  uses violence or intimidation to or toward such other person or his wife, child, or dependant, or does any injury to him or to his wife, child, or dependant, or
(ii)  follows such other person about from place to place, or
(iii)  hides any tools, clothes, or other property owned or used by such other person, or deprives him of or hinders him in the use thereof, or
(iv)    (Repealed)
(v)  follows such other person with two or more other persons in a disorderly manner in or through any street, road, or public place,
is liable, on conviction before the Local Court, to imprisonment for 2 years, or to a fine of 50 penalty units, or both.
(2)  In this section:
Intimidation means the causing of a reasonable apprehension of injury to a person or to any member of his family or to any of his dependants, or of violence or damage to any person or property, and intimidate has a corresponding meaning.
Injury includes any injury to a person in respect of his property, business, occupation, employment, or other source of income, and also includes any actionable wrong of any nature.",
Unlawful assembly,CA00,545C,P14A'D2,Knowingly joining or continuing in etc an unlawful assembly,offence,"(1)  Whosoever knowingly joins an unlawful assembly or continues in it shall be taken to be a member of that assembly, and shall, on conviction before the Local Court, be liable to imprisonment for a term not exceeding six months or to a fine not exceeding 5 penalty units, or both.
(2)  Whosoever being armed with any weapon or loaded arms, or with anything which used as a weapon of offence is likely to cause death or grievous bodily harm, is a member of an unlawful assembly, shall be liable, on conviction before the Local Court, to imprisonment for a term not exceeding twelve months or to a fine not exceeding 10 penalty units, or both.
(3)  Any assembly of five or more persons whose common object is by means of intimidation or injury to compel any person to do what the person is not legally bound to do or to abstain from doing what the person is legally entitled to do, shall be deemed to be an unlawful assembly.",
Carriage threat,CL04,474.15,P10.6'D474,Using a carriage service to make a threat,offence,"Threat to kill
1.  A person (the first person) is guilty of an offence if: 

(a)  the first person uses a carriage service to make to another person (the second person) a threat to kill the second person or a third person; and 
(b)  the first person intends the second person to fear that the threat will be carried out.Penalty:  Imprisonment for 10 years.

Threat to cause serious harm
2.  A person (the first person) is guilty of an offence if:
(a)  the first person uses a carriage service to make to another person (the second person) a threat to cause serious harm to the second person or a third person; and 
(b)  the first person intends the second person to fear that the threat will be carried out.Penalty:  Imprisonment for 7 years.

Actual fear not necessary
3.  In a prosecution for an offence against this section, it is not necessary to prove that the person receiving the threat actually feared that the threat would be carried out.

Definitions
4.  In this section:
  - fear includes apprehension.
  - threat to cause serious harm to a person includes a threat to substantially contribute to serious harm to the person.",
Threat harm,CL04,474.15(2),P10.6'D474,Threat to cause serious harm,offence,"A person (the first person) is guilty of an offence if:
(a) the first person uses a carriage service to make to another person (the second person) a threat to cause serious harm to the second person or a third person; and
(b) the first person intends the second person to fear that the threat will be carried out
Penalty: Imprisonment for 7 years.",
Threat prosecution,CL04,474.15(3),P10.6'D474,Actual fear not necessary,action,"In a prosecution for an offence against this section, it is not necessary to prove that the person receiving the threat actually feared that the threat would be carried out.",
Defs (carriage threat),CL04,474.15(4),P10.6'D474,Definitions (Using carriage service to threat),def,"In this section:
- fear includes apprehension.
- threat to cause serious harm to a person includes a threat to substantially contribute to serious harm to the person.",
Contract relief,CR80,7,P2,Part 2 Relief in respect of unjust contracts,def,"#### 7   Principal relief
(1)  Where the Court finds a contract or a provision of a contract to have been unjust in the circumstances relating to the contract at the time it was made, the Court may, if it considers it just to do so, and for the purpose of avoiding as far as practicable an unjust consequence or result, do any one or more of the following:
(a)  it may decide to refuse to enforce any or all of the provisions of the contract,
(b)  it may make an order declaring the contract void, in whole or in part,
(c)  it may make an order varying, in whole or in part, any provision of the contract,
(d)  it may, in relation to a land instrument, make an order for or with respect to requiring the execution of an instrument that:
(i)  varies, or has the effect of varying, the provisions of the land instrument, or
(ii)  terminates or otherwise affects, or has the effect of terminating or otherwise affecting, the operation or effect of the land instrument.
(2)  Where the Court makes an order under subsection (1) (b) or (c), the declaration or variation shall have effect as from the time when the contract was made or (as to the whole or any part or parts of the contract) from some other time or times as specified in the order.
(3)  The operation of this section is subject to the provisions of section 19.


#### 8   Ancillary relief
Schedule 1 has effect with respect to the ancillary relief that may be granted by the Court in relation to an application for relief under this Act.


#### 9   Matters to be considered by Court
(1)  In determining whether a contract or a provision of a contract is unjust in the circumstances relating to the contract at the time it was made, the Court shall have regard to the public interest and to all the circumstances of the case, including such consequences or results as those arising in the event of:
(a)  compliance with any or all of the provisions of the contract, or
(b)  non-compliance with, or contravention of, any or all of the provisions of the contract.
(2)  Without in any way affecting the generality of subsection (1), the matters to which the Court shall have regard shall, to the extent that they are relevant to the circumstances, include the following:
(a)  whether or not there was any material inequality in bargaining power between the parties to the contract,
(b)  whether or not prior to or at the time the contract was made its provisions were the subject of negotiation,
(c)  whether or not it was reasonably practicable for the party seeking relief under this Act to negotiate for the alteration of or to reject any of the provisions of the contract,
(d)  whether or not any provisions of the contract impose conditions which are unreasonably difficult to comply with or not reasonably necessary for the protection of the legitimate interests of any party to the contract,
(e)  whether or not:
(i)  any party to the contract (other than a corporation) was not reasonably able to protect his or her interests, or
(ii)  any person who represented any of the parties to the contract was not reasonably able to protect the interests of any party whom he or she represented,
because of his or her age or the state of his or her physical or mental capacity,
(f)  the relative economic circumstances, educational background and literacy of:
(i)  the parties to the contract (other than a corporation), and
(ii)  any person who represented any of the parties to the contract,
(g)  where the contract is wholly or partly in writing, the physical form of the contract, and the intelligibility of the language in which it is expressed,
(h)  whether or not and when independent legal or other expert advice was obtained by the party seeking relief under this Act,
(i)  the extent (if any) to which the provisions of the contract and their legal and practical effect were accurately explained by any person to the party seeking relief under this Act, and whether or not that party understood the provisions and their effect,
(j)  whether any undue influence, unfair pressure or unfair tactics were exerted on or used against the party seeking relief under this Act:
(i)  by any other party to the contract,
(ii)  by any person acting or appearing or purporting to act for or on behalf of any other party to the contract, or
(iii)  by any person to the knowledge (at the time the contract was made) of any other party to the contract or of any person acting or appearing or purporting to act for or on behalf of any other party to the contract,
(k)  the conduct of the parties to the proceedings in relation to similar contracts or courses of dealing to which any of them has been a party, and
(l)  the commercial or other setting, purpose and effect of the contract.
(3)  For the purposes of subsection (2), a person shall be deemed to have represented a party to a contract if the person represented the party, or assisted the party to a significant degree, in negotiations prior to or at the time the contract was made.
(4)  In determining whether a contract or a provision of a contract is unjust, the Court shall not have regard to any injustice arising from circumstances that were not reasonably foreseeable at the time the contract was made.
(5)  In determining whether it is just to grant relief in respect of a contract or a provision of a contract that is found to be unjust, the Court may have regard to the conduct of the parties to the proceedings in relation to the performance of the contract since it was made


#### 10   General orders
Where the Supreme Court is satisfied, on the application of the Minister or the Attorney General, or both, that a person has embarked, or is likely to embark, on a course of conduct leading to the formation of unjust contracts, it may, by order, prescribe or otherwise restrict, the terms upon which that person may enter into contracts of a specified class",
Intimidation,CV07,7,P1,Meaning of “intimidation”,def,"(1) For the purposes of this Act, intimidation of a person means:
(a) conduct amounting to harassment or molestation of the person, or
(b) an approach made to the person by any means (including by telephone, telephone text messaging, e-mailing and other technologically assisted means) that causes the person to fear for his or her safety, or
(c) any conduct that causes a reasonable apprehension of injury to a person or to a person with whom he or she has a domestic relationship, or of violence or damage to any person or property.
(2) For the purpose of determining whether a person’s conduct amounts to intimidation, a court may have regard to any pattern of violence (especially violence constituting a domestic violence offence) in the person’s behaviour.",
Stalking,CV07,8,P1,Meaning of “stalking”,def,"(1) In this Act, stalking includes the following of a person about or the watching or frequenting of the vicinity of, or an approach to, a person’s place of residence, business or work or any place that a person frequents for the purposes of any social or leisure activity.
(2) For the purpose of determining whether a person’s conduct amounts to stalking, a court may have regard to any pattern of violence (especially violence constituting a domestic violence offence) in the person’s behaviour.",
Domestic violemce,CV07,11,P3,Meaning of “domestic violence offence”,def,"(1)  In this Act, domestic violence offence means an offence committed by a person against another person with whom the person who commits the offence has (or has had) a domestic relationship, being:
(a)  a personal violence offence, or
(b)  an offence (other than a personal violence offence) that arises from substantially the same circumstances as those from which a personal violence offence has arisen, or
(c)  an offence (other than a personal violence offence) the commission of which is intended to coerce or control the person against whom it is committed or to cause that person to be intimidated or fearful (or both).
(2)  In this section, offence includes an offence under the Criminal Code Act 1995 of the Commonwealth.",
DVO sufficient info,CV07,12(4),P3,Recording of domestic violence offences,duty,Any such application is to include sufficient information in support of the request to enable the court to make a decision as to whether such a recording is appropriate.,
Intended intimidation,CV07,13,P3,Stalking or intimidation with intent to cause fear of physical or mental harm,offence,"(1) A person who stalks or intimidates another person with the intention of causing the other person to fear physical or mental harm is guilty of an offence.
Maximum penalty: Imprisonment for 5 years or 50 penalty units, or both.(2) For the purposes of this section, causing a person to fear physical or mental harm includes causing the person to fear physical or mental harm to another person with whom he or she has a domestic relationship.(3) For the purposes of this section, a person intends to cause fear of physical or mental harm if he or she knows that the conduct is likely to cause fear in the other person.
(4) For the purposes of this section, the prosecution is not required to prove that the person alleged to have been stalked or intimidated actually feared physical or mental harm.
(5) A person who attempts to commit an offence against subsection (1) is guilty of an offence against that subsection and is punishable as if the offence attempted had been committed.
","Stalking,Intimidation"
APVO application,CV07,18,P5,Application for making of apprehended personal violence order by court,action,"(1)  An application may be made in accordance with Part 10 for an apprehended personal violence order for the protection of one or more persons against another person.

(2)  An application is to be treated as an application for an apprehended domestic violence order if one or more of the persons for whose protection the order would be made has or has had a domestic relationship with the person against whom it is sought.",
ORDER 19 APVO ,CV07,19,P5,Court may make apprehended personal violence order,order,"(1)  A court may, on application, make an apprehended personal violence order if it is satisfied on the balance of probabilities that a person has reasonable grounds to fear and in fact fears:
(a)  the commission by the other person of a personal violence offence against the person, or
(b)  the engagement of the other person in conduct in which the other person:
(i)  intimidates the person, or
(ii)  stalks the person,
being conduct that, in the opinion of the court, is sufficient to warrant the making of the order.
(2)  Despite subsection (1), it is not necessary for the court to be satisfied that the person for whose protection the order would be made in fact fears that such an offence will be committed, or that such conduct will be engaged in, if:
(a)  the person is a child, or
(b)  the person is, in the opinion of the court, suffering from an appreciably below average general intelligence function.
(3)  For the purposes of this section, conduct may amount to intimidation of a person even though:
(a)  it does not involve actual or threatened violence to the person, or
(b)  it consists only of actual or threatened damage to property belonging to, in the possession of or used by the person.
Note. Part 8 provides for the matters that may be included in orders. Part 9 contains additional provisions relevant to the making of orders.","Stalking,Intimidation"
APVO consideration,CV07,20,P5,Matters to be considered by court,duty,"(1)  In deciding whether or not to make an apprehended personal violence order, the court must consider the safety and protection of the person seeking the order and any child directly or indirectly affected by the conduct of the defendant alleged in the application for the order.
(2)  Without limiting subsection (1), in deciding whether or not to make an apprehended personal violence order, the court is to consider:
(a)  in the case of an order that would prohibit or restrict access to the defendant’s residence—the effects and consequences on the safety and protection of the protected person and any children living or ordinarily living at the residence if an order prohibiting or restricting access to the residence is not made, and
(b)  any hardship that may be caused by making or not making the order, particularly to the protected person and any children, and
(c)  the accommodation needs of all relevant parties, in particular the protected person and any children, and
(d)  any other relevant matter.
(3)  When making an apprehended personal violence order, the court is to ensure that the order imposes only those prohibitions and restrictions on the defendant that, in the opinion of the court, are necessary for the safety and protection of the protected person, and any child directly or indirectly affected by the conduct of the defendant alleged in the application for the order, and the protected person’s property.
(4)  If an application is made for an apprehended personal violence order that prohibits or restricts access by the defendant to any premises or place and the court hearing proceedings in respect of the application decides to make an order without the prohibition or restriction sought, the court is to give reasons for that decision.",
Defs (defamation),DA05,4,P1,Definitions (Defamation Act),def,"In this Act:
Australian court means any court established by or under a law of an Australian jurisdiction (including a court conducting committal proceedings for an indictable offence).
Australian jurisdiction means:
(a)  a State, or
(b)  a Territory, or
(c)  the Commonwealth.
Australian tribunal means any tribunal (other than a court) established by or under a law of an Australian jurisdiction that has the power to take evidence from witnesses before it on oath or affirmation (including a Royal Commission or other special commission of inquiry).
country includes:
(a)  a federation and a state, territory, province or other part of a federation, and
(b)  an Australian jurisdiction.
document means any record of information, and includes:
(a)  anything on which there is writing, and
(b)  anything on which there are marks, figures, symbols or perforations having a meaning for persons qualified to interpret them, and
(c)  anything from which sounds, images or writings can be reproduced with or without the aid of anything else, and
(d)  a map, plan, drawing or photograph.
electronic communication includes a communication of information in the form of data, text, images or sound (or any combination of these) by means of guided or unguided electromagnetic energy, or both.
general law means the common law and equity.
Health Practitioner Regulation National Law means:
(a)  the Health Practitioner Regulation National Law:
(i)  as in force from time to time, set out in the Schedule to the Health Practitioner Regulation National Law Act 2009 of Queensland, and
(ii)  as it applies (including with any modifications) as a law of New South Wales or another State or Territory, or
(b)  the law of another State or Territory that substantially corresponds to the law referred to in paragraph (a).
matter includes:
(a)  an article, report, advertisement or other thing communicated by means of a newspaper, magazine or other periodical, and
(b)  a program, report, advertisement or other thing communicated by means of television, radio, the Internet or any other form of electronic communication, and
(c)  a letter, note or other writing, and
(d)  a picture, gesture or oral utterance, and
(e)  any other thing by means of which something may be communicated to a person.
offer to make amends means an offer to make amends under Division 1 of Part 3.
parliamentary body means:
(a)  a parliament or legislature of any country, or
(b)  a house of a parliament or legislature of any country, or
(c)  a committee of a parliament or legislature of any country, or
(d)  a committee of a house or houses of a parliament or legislature of any country.
substantially true means true in substance or not materially different from the truth.
Territory means the Australian Capital Territory or the Northern Territory.
this jurisdiction means New South Wales.",
DFM action,DA05,8,P2'D2,Single cause of action for multiple defamatory imputations in same matter,action,"A person has a single cause of action for defamation in relation to the publication of defamatory matter about the person even if more than one defamatory imputation about the person is carried by the matter.
",Defs (defamation)
DFM amends,DA05,14,P3'D1,When offer to make amends may be made,def,"(1)  An offer to make amends cannot be made if:
(a)  28 days have elapsed since the publisher was given a concerns notice by the aggrieved person, or
(b)  a defence has been served in an action brought by the aggrieved person against the publisher in relation to the matter in question.
(2)  A notice is a concerns notice for the purposes of this section if the notice:
(a)  is in writing, and
(b)  informs the publisher of the defamatory imputations that the aggrieved person considers are or may be carried about the aggrieved person by the matter in question (the imputations of concern).
(3)  If an aggrieved person gives the publisher a concerns notice, but fails to particularise the imputations of concern adequately, the publisher may give the aggrieved person a written notice (a further particulars notice) requesting the aggrieved person to provide reasonable further particulars about the imputations of concern as specified in the further particulars notice.
(4)  An aggrieved person to whom a further particulars notice is given must provide the reasonable further particulars specified in the notice within 14 days (or any further period agreed by the publisher and aggrieved person) after being given the notice.
(5)  An aggrieved person who fails to provide the reasonable further particulars specified in a further particulars notice within the applicable period is taken not to have given the publisher a concerns notice for the purposes of this section.",
DFM loss limit,DA05,35,P4'D3,Damages for non-economic loss limited,def,"(1)  Unless the court orders otherwise under subsection (2), the maximum amount of damages for non-economic loss that may be awarded in defamation proceedings is $250,000 or any other amount adjusted in accordance with this section from time to time (the maximum damages amount) that is applicable at the time damages are awarded.
(2)  A court may order a defendant in defamation proceedings to pay damages for non-economic loss that exceed the maximum damages amount applicable at the time the order is made if, and only if, the court is satisfied that the circumstances of the publication of the defamatory matter to which the proceedings relate are such as to warrant an award of aggravated damages.
(3)  The Minister is, on or before 1 July 2006 and on or before 1 July in each succeeding year, to declare, by order published in the Gazette, the amount that is to apply, as from the date specified in the order, for the purposes of subsection (1).
Editorial note. For orders under this subsection, see Gazettes No 84 of 30.6.2006, p 5043 (amount declared: $259,500); No 80 of 15.6.2007, p 3793 (amount declared: $267,500); No 72 of 20.6.2008, p 5482 (amount declared $280,500); No 90 of 19.6.2009, p 3137 (amount declared: $294,500); No 79 of 18.6.2010, p 2452 (amount declared: $311,000); No 62 of 24.6.2011, p 4588 (amount declared: $324,000); No 60 of 8.6.2012, p 2369 (amount declared: $339,000); No 65 of 31.5.2013, p 2307 ($355,500); No 52 of 26.6.2015, p 1928 (amount declared: $376,500); No 50 of 17.6.2016, p 1406 (amount declared: $381,000); No 56 of 26.5.2017, p 1782 (amount declared: $389,500) and No 66 of 29.6.2018, p 3970 (amount declared: $398,500).
(4)  The amount declared is to be the amount applicable under subsection (1) (or that amount as last adjusted under this section) adjusted by the percentage change in the amount estimated by the Australian Statistician of the average weekly total earnings of full-time adults in Australia over the 4 quarters preceding the date of the declaration for which those estimates are, at that date, available.
(5)  An amount declared for the time being under this section applies to the exclusion of the amount of $250,000 or an amount previously adjusted under this section.
(6)  If the Australian Statistician fails or ceases to estimate the amount referred to in subsection (4), the amount declared is to be determined in accordance with the regulations.
(7)  In adjusting an amount to be declared for the purposes of subsection (1), the amount determined in accordance with subsection (4) is to be rounded to the nearest $500.
(8)  A declaration made or published in the Gazette after 1 July in a year and specifying a date that is before the date it is made or published as the date from which the amount declared by the order is to apply has effect as from that specified date.",
