name,of,at,in,title,tags,body,see
Unlawful assembly,CA00,545C,P14A'D2,Knowingly joining or continuing in etc an unlawful assembly,offence,"(1)  Whosoever knowingly joins an unlawful assembly or continues in it shall be taken to be a member of that assembly, and shall, on conviction before the Local Court, be liable to imprisonment for a term not exceeding six months or to a fine not exceeding 5 penalty units, or both.
(2)  Whosoever being armed with any weapon or loaded arms, or with anything which used as a weapon of offence is likely to cause death or grievous bodily harm, is a member of an unlawful assembly, shall be liable, on conviction before the Local Court, to imprisonment for a term not exceeding twelve months or to a fine not exceeding 10 penalty units, or both.
(3)  Any assembly of five or more persons whose common object is by means of intimidation or injury to compel any person to do what the person is not legally bound to do or to abstain from doing what the person is legally entitled to do, shall be deemed to be an unlawful assembly.",
Intimidation,CA07,7,P1,Meaning of “intimidation”,def,"(1) For the purposes of this Act, intimidation of a person means:
(a) conduct amounting to harassment or molestation of the person, or
(b) an approach made to the person by any means (including by telephone, telephone text messaging, e-mailing and other technologically assisted means) that causes the person to fear for his or her safety, or
(c) any conduct that causes a reasonable apprehension of injury to a person or to a person with whom he or she has a domestic relationship, or of violence or damage to any person or property.
(2) For the purpose of determining whether a person’s conduct amounts to intimidation, a court may have regard to any pattern of violence (especially violence constituting a domestic violence offence) in the person’s behaviour.",
Stalking,CA07,8,P1,Meaning of “stalking”,def,"(1) In this Act, stalking includes the following of a person about or the watching or frequenting of the vicinity of, or an approach to, a person’s place of residence, business or work or any place that a person frequents for the purposes of any social or leisure activity.
(2) For the purpose of determining whether a person’s conduct amounts to stalking, a court may have regard to any pattern of violence (especially violence constituting a domestic violence offence) in the person’s behaviour.",
Domestic violemce,CA07,11,P3,Meaning of “domestic violence offence”,def,"(1)  In this Act, domestic violence offence means an offence committed by a person against another person with whom the person who commits the offence has (or has had) a domestic relationship, being:
(a)  a personal violence offence, or
(b)  an offence (other than a personal violence offence) that arises from substantially the same circumstances as those from which a personal violence offence has arisen, or
(c)  an offence (other than a personal violence offence) the commission of which is intended to coerce or control the person against whom it is committed or to cause that person to be intimidated or fearful (or both).
(2)  In this section, offence includes an offence under the Criminal Code Act 1995 of the Commonwealth.",
DVO sufficient info,CA07,12(4),P3,Recording of domestic violence offences,duty,Any such application is to include sufficient information in support of the request to enable the court to make a decision as to whether such a recording is appropriate.,
Intended intimidation,CA07,13,P3,Stalking or intimidation with intent to cause fear of physical or mental harm,offence,"(1) A person who stalks or intimidates another person with the intention of causing the other person to fear physical or mental harm is guilty of an offence.
Maximum penalty: Imprisonment for 5 years or 50 penalty units, or both.(2) For the purposes of this section, causing a person to fear physical or mental harm includes causing the person to fear physical or mental harm to another person with whom he or she has a domestic relationship.(3) For the purposes of this section, a person intends to cause fear of physical or mental harm if he or she knows that the conduct is likely to cause fear in the other person.
(4) For the purposes of this section, the prosecution is not required to prove that the person alleged to have been stalked or intimidated actually feared physical or mental harm.
(5) A person who attempts to commit an offence against subsection (1) is guilty of an offence against that subsection and is punishable as if the offence attempted had been committed.
","Stalking,Intimidation"
APVO application,CA07,18,P5,Application for making of apprehended personal violence order by court,action,"(1)  An application may be made in accordance with Part 10 for an apprehended personal violence order for the protection of one or more persons against another person.

(2)  An application is to be treated as an application for an apprehended domestic violence order if one or more of the persons for whose protection the order would be made has or has had a domestic relationship with the person against whom it is sought.",
ORDER 19 APVO ,CA07,19,P5,Court may make apprehended personal violence order,order,"(1)  A court may, on application, make an apprehended personal violence order if it is satisfied on the balance of probabilities that a person has reasonable grounds to fear and in fact fears:
(a)  the commission by the other person of a personal violence offence against the person, or
(b)  the engagement of the other person in conduct in which the other person:
(i)  intimidates the person, or
(ii)  stalks the person,
being conduct that, in the opinion of the court, is sufficient to warrant the making of the order.
(2)  Despite subsection (1), it is not necessary for the court to be satisfied that the person for whose protection the order would be made in fact fears that such an offence will be committed, or that such conduct will be engaged in, if:
(a)  the person is a child, or
(b)  the person is, in the opinion of the court, suffering from an appreciably below average general intelligence function.
(3)  For the purposes of this section, conduct may amount to intimidation of a person even though:
(a)  it does not involve actual or threatened violence to the person, or
(b)  it consists only of actual or threatened damage to property belonging to, in the possession of or used by the person.
Note. Part 8 provides for the matters that may be included in orders. Part 9 contains additional provisions relevant to the making of orders.","Stalking,Intimidation"
APVO consideration,CA07,20,P5,Matters to be considered by court,duty,"(1)  In deciding whether or not to make an apprehended personal violence order, the court must consider the safety and protection of the person seeking the order and any child directly or indirectly affected by the conduct of the defendant alleged in the application for the order.
(2)  Without limiting subsection (1), in deciding whether or not to make an apprehended personal violence order, the court is to consider:
(a)  in the case of an order that would prohibit or restrict access to the defendant’s residence—the effects and consequences on the safety and protection of the protected person and any children living or ordinarily living at the residence if an order prohibiting or restricting access to the residence is not made, and
(b)  any hardship that may be caused by making or not making the order, particularly to the protected person and any children, and
(c)  the accommodation needs of all relevant parties, in particular the protected person and any children, and
(d)  any other relevant matter.
(3)  When making an apprehended personal violence order, the court is to ensure that the order imposes only those prohibitions and restrictions on the defendant that, in the opinion of the court, are necessary for the safety and protection of the protected person, and any child directly or indirectly affected by the conduct of the defendant alleged in the application for the order, and the protected person’s property.
(4)  If an application is made for an apprehended personal violence order that prohibits or restricts access by the defendant to any premises or place and the court hearing proceedings in respect of the application decides to make an order without the prohibition or restriction sought, the court is to give reasons for that decision.",
Carriage threat,CL04,474.15,P10.6'D474,Using a carriage service to make a threat,offence,"Threat to kill
1.  A person (the first person) is guilty of an offence if: 

(a)  the first person uses a carriage service to make to another person (the second person) a threat to kill the second person or a third person; and 
(b)  the first person intends the second person to fear that the threat will be carried out.Penalty:  Imprisonment for 10 years.

Threat to cause serious harm
2.  A person (the first person) is guilty of an offence if:
(a)  the first person uses a carriage service to make to another person (the second person) a threat to cause serious harm to the second person or a third person; and 
(b)  the first person intends the second person to fear that the threat will be carried out.Penalty:  Imprisonment for 7 years.

Actual fear not necessary
3.  In a prosecution for an offence against this section, it is not necessary to prove that the person receiving the threat actually feared that the threat would be carried out.

Definitions
4.  In this section:
  - fear includes apprehension.
  - threat to cause serious harm to a person includes a threat to substantially contribute to serious harm to the person.",
Threat harm,CL04,474.15(2),P10.6'D474,Threat to cause serious harm,offence,"A person (the first person) is guilty of an offence if:
(a) the first person uses a carriage service to make to another person (the second person) a threat to cause serious harm to the second person or a third person; and
(b) the first person intends the second person to fear that the threat will be carried out
Penalty: Imprisonment for 7 years.",
Threat prosecution,CL04,474.15(3),P10.6'D474,Actual fear not necessary,action,"In a prosecution for an offence against this section, it is not necessary to prove that the person receiving the threat actually feared that the threat would be carried out.",
Defs (carriage threat),CL04,474.15(4),P10.6'D474,Definitions (Using carriage service to threat),def,"In this section:
- fear includes apprehension.
- threat to cause serious harm to a person includes a threat to substantially contribute to serious harm to the person.",
Defs (defamation),DA05,4,P1,Definitions (Defamation Act),def,"In this Act:
Australian court means any court established by or under a law of an Australian jurisdiction (including a court conducting committal proceedings for an indictable offence).
Australian jurisdiction means:
(a)  a State, or
(b)  a Territory, or
(c)  the Commonwealth.
Australian tribunal means any tribunal (other than a court) established by or under a law of an Australian jurisdiction that has the power to take evidence from witnesses before it on oath or affirmation (including a Royal Commission or other special commission of inquiry).
country includes:
(a)  a federation and a state, territory, province or other part of a federation, and
(b)  an Australian jurisdiction.
document means any record of information, and includes:
(a)  anything on which there is writing, and
(b)  anything on which there are marks, figures, symbols or perforations having a meaning for persons qualified to interpret them, and
(c)  anything from which sounds, images or writings can be reproduced with or without the aid of anything else, and
(d)  a map, plan, drawing or photograph.
electronic communication includes a communication of information in the form of data, text, images or sound (or any combination of these) by means of guided or unguided electromagnetic energy, or both.
general law means the common law and equity.
Health Practitioner Regulation National Law means:
(a)  the Health Practitioner Regulation National Law:
(i)  as in force from time to time, set out in the Schedule to the Health Practitioner Regulation National Law Act 2009 of Queensland, and
(ii)  as it applies (including with any modifications) as a law of New South Wales or another State or Territory, or
(b)  the law of another State or Territory that substantially corresponds to the law referred to in paragraph (a).
matter includes:
(a)  an article, report, advertisement or other thing communicated by means of a newspaper, magazine or other periodical, and
(b)  a program, report, advertisement or other thing communicated by means of television, radio, the Internet or any other form of electronic communication, and
(c)  a letter, note or other writing, and
(d)  a picture, gesture or oral utterance, and
(e)  any other thing by means of which something may be communicated to a person.
offer to make amends means an offer to make amends under Division 1 of Part 3.
parliamentary body means:
(a)  a parliament or legislature of any country, or
(b)  a house of a parliament or legislature of any country, or
(c)  a committee of a parliament or legislature of any country, or
(d)  a committee of a house or houses of a parliament or legislature of any country.
substantially true means true in substance or not materially different from the truth.
Territory means the Australian Capital Territory or the Northern Territory.
this jurisdiction means New South Wales.",
DFM action,DA05,8,P2'D2,Single cause of action for multiple defamatory imputations in same matter,action,"A person has a single cause of action for defamation in relation to the publication of defamatory matter about the person even if more than one defamatory imputation about the person is carried by the matter.
",Defs (defamation)
DFM amends,DA05,14,P3'D1,When offer to make amends may be made,def,"(1)  An offer to make amends cannot be made if:
(a)  28 days have elapsed since the publisher was given a concerns notice by the aggrieved person, or
(b)  a defence has been served in an action brought by the aggrieved person against the publisher in relation to the matter in question.
(2)  A notice is a concerns notice for the purposes of this section if the notice:
(a)  is in writing, and
(b)  informs the publisher of the defamatory imputations that the aggrieved person considers are or may be carried about the aggrieved person by the matter in question (the imputations of concern).
(3)  If an aggrieved person gives the publisher a concerns notice, but fails to particularise the imputations of concern adequately, the publisher may give the aggrieved person a written notice (a further particulars notice) requesting the aggrieved person to provide reasonable further particulars about the imputations of concern as specified in the further particulars notice.
(4)  An aggrieved person to whom a further particulars notice is given must provide the reasonable further particulars specified in the notice within 14 days (or any further period agreed by the publisher and aggrieved person) after being given the notice.
(5)  An aggrieved person who fails to provide the reasonable further particulars specified in a further particulars notice within the applicable period is taken not to have given the publisher a concerns notice for the purposes of this section.",
DFM loss limit,DA05,35,P4'D3,Damages for non-economic loss limited,def,"(1)  Unless the court orders otherwise under subsection (2), the maximum amount of damages for non-economic loss that may be awarded in defamation proceedings is $250,000 or any other amount adjusted in accordance with this section from time to time (the maximum damages amount) that is applicable at the time damages are awarded.
(2)  A court may order a defendant in defamation proceedings to pay damages for non-economic loss that exceed the maximum damages amount applicable at the time the order is made if, and only if, the court is satisfied that the circumstances of the publication of the defamatory matter to which the proceedings relate are such as to warrant an award of aggravated damages.
(3)  The Minister is, on or before 1 July 2006 and on or before 1 July in each succeeding year, to declare, by order published in the Gazette, the amount that is to apply, as from the date specified in the order, for the purposes of subsection (1).
Editorial note. For orders under this subsection, see Gazettes No 84 of 30.6.2006, p 5043 (amount declared: $259,500); No 80 of 15.6.2007, p 3793 (amount declared: $267,500); No 72 of 20.6.2008, p 5482 (amount declared $280,500); No 90 of 19.6.2009, p 3137 (amount declared: $294,500); No 79 of 18.6.2010, p 2452 (amount declared: $311,000); No 62 of 24.6.2011, p 4588 (amount declared: $324,000); No 60 of 8.6.2012, p 2369 (amount declared: $339,000); No 65 of 31.5.2013, p 2307 ($355,500); No 52 of 26.6.2015, p 1928 (amount declared: $376,500); No 50 of 17.6.2016, p 1406 (amount declared: $381,000); No 56 of 26.5.2017, p 1782 (amount declared: $389,500) and No 66 of 29.6.2018, p 3970 (amount declared: $398,500).
(4)  The amount declared is to be the amount applicable under subsection (1) (or that amount as last adjusted under this section) adjusted by the percentage change in the amount estimated by the Australian Statistician of the average weekly total earnings of full-time adults in Australia over the 4 quarters preceding the date of the declaration for which those estimates are, at that date, available.
(5)  An amount declared for the time being under this section applies to the exclusion of the amount of $250,000 or an amount previously adjusted under this section.
(6)  If the Australian Statistician fails or ceases to estimate the amount referred to in subsection (4), the amount declared is to be determined in accordance with the regulations.
(7)  In adjusting an amount to be declared for the purposes of subsection (1), the amount determined in accordance with subsection (4) is to be rounded to the nearest $500.
(8)  A declaration made or published in the Gazette after 1 July in a year and specifying a date that is before the date it is made or published as the date from which the amount declared by the order is to apply has effect as from that specified date.",
Disqualified PA,PA02,16,P2'D2,Disqualified persons,"sa,def","(1)  A person is a disqualified person for the purposes of this Act if the person:
(a)  has a conviction in New South Wales or elsewhere for an offence involving dishonesty that was recorded in the last 10 years, unless the Secretary has determined under subsection (2) that the offence should be ignored, or
(b)  has a conviction that was recorded in the last 5 years for an offence under section 13 (Lending of licence or certificate of registration prohibited) of this Act, unless the Secretary has determined under subsection (2) that the offence should be ignored, or
(c)–(e)    (Repealed)
(f)  is a mentally incapacitated person, or
(g)  is disqualified from holding a licence, certificate of registration or other authority under a corresponding law or is the holder of such a licence, certificate of registration or other authority that is suspended, or
(h)  is the holder of a licence, permit or other authority that is suspended under legislation administered by the Minister or is disqualified from holding a licence, permit or other authority under legislation administered by the Minister, or
(i)  is in partnership with a person who is a disqualified person, or
(j)  is for the time being declared to be a disqualified person under Part 12 (Complaints and disciplinary action), or
(k)  is a corporation that is the subject of a winding up order or for which a controller or administrator has been appointed, or
(l)  has failed to pay a contribution or levy payable by the person under Part 10 (Compensation Fund) and the failure continues, or
(m)  has failed to pay an amount due as a debt to the Crown by way of recovery of an amount paid out of the Compensation Fund and the failure continues, or
(n)  has failed to pay any monetary penalty payable by the person under Part 12 (Complaints and disciplinary action) or has failed to comply with a direction given by the Secretary under that Part, and the failure continues, or
(o)  has failed to provide the Secretary with an auditor’s report that the person is required to provide under this Act on the audit of the records and documents relating to any money held in a trust account kept by the person under this Act, unless the Secretary determines that in the circumstances that failure should not disqualify the person, or
(p)  is in breach of any provision of this Act or the regulations that is prescribed by the regulations as a disqualifying breach.
(1A)  A person is also a disqualified person for the purposes of this Act (except for the purposes of eligibility to hold a certificate of registration) if the person:
(a)  is an undischarged bankrupt, or
(b)  at any time in the last 3 years was an undischarged bankrupt, applied to take the benefit of any law for the relief of bankrupt or insolvent debtors, compounded with his or her creditors or made an assignment of his or her remuneration for their benefit, or
(c)  is, or was at any time in the last 3 years, concerned in the management of, or a director of, an externally-administered body corporate (within the meaning of the Corporations Act) except in a case of the voluntary winding up of the body corporate, or
(d)  is a person:
(i)  who was, at any time in the last 3 years, concerned in the management of, or a director of, a body corporate that, within 12 months after the person ceasing to be such a person or director, became an externally-administered body corporate (within the meaning of the Corporations Act) except in the case of a voluntary winding up of the body corporate, and
(ii)  who failed (while concerned in the management of, or a director of, that body corporate) to take all reasonable steps to avoid the body corporate becoming an externally-administered body corporate.
(2)  The Secretary may determine that an offence committed by a person should be ignored for the purposes of this section because of the time that has passed since the offence was committed or because of the triviality of the acts or omissions giving rise to the offence.
(2A)  The Secretary may, in any case that the Secretary thinks it appropriate to do so, determine that a suspension or disqualification from holding a licence, permit or other authority under legislation administered by the Minister (as referred to in subsection (1) (h)) is to be ignored for the purposes of this section.
(2B)  The Secretary may exempt a person from the operation of subsection (1A) (a), (b) or (c) by:
(a)  certifying, in the case of exemption from subsection (1A) (a), that the Secretary is satisfied that the person took all reasonable steps to avoid the bankruptcy concerned, or
(b)  certifying, in the case of exemption from subsection (1A) (b), that the Secretary is satisfied that the person took all reasonable steps to avoid the bankruptcy or other financial difficulties concerned, or
(c)  certifying, in the case of exemption from subsection (1A) (c), that the Secretary is satisfied that the person took all reasonable steps (while concerned in the management of, or a director of, the body corporate) to avoid the body corporate becoming an externally-administered body corporate.
(2C)  Subsection (1A) (d) does not operate to make a person a disqualified person unless the Secretary has served a notice on the person giving the person the opportunity to make oral or written submissions to the Secretary within a period (not being less than 14 days) specified in the notice with respect to the grounds on which the person believes he or she took all reasonable steps to avoid the body corporate becoming an externally-administered body corporate and the Secretary is satisfied that the person failed to take all such steps.
(2D)  In determining for the purposes of subsection (2B) or (2C) what reasonable steps could have been taken by a person to avoid a particular outcome, the Secretary is to have regard to the steps that could have been taken by the person from the time that the financial difficulties that gave rise to the outcome first arose.
(3)  In this section:
corresponding law means a law of another Australian jurisdiction that is declared by the Minister from time to time by order published in the Gazette to be a law that corresponds to this Act.
Editorial note. For orders under this subsection, see Gazette No 74 of 16.4.2004, p 2127.",
PA dishonest conviction,PA02,16(a),P2'D2,Disqualified persons (a),"sa,def","has a conviction in New South Wales or elsewhere for an offence involving dishonesty that was recorded in the last 10 years, unless the Secretary has determined under subsection (2) that the offence should be ignored",
PA mental incapacitation,PA02,16(f),P2'D2,Disqualified persons (f),"sa,def",is a mentally incapacitated person,
PA disqualified discipline,PA02,16(j),P2'D2,Disqualified persons (j),"sa,def",is for the time being declared to be a disqualified person under Part 12 (Complaints and disciplinary action),PA disciplinary ground
PA disqualified breach,PA02,16(p),P2'D2,Disqualified persons (p),"sa,def",is in breach of any provision of this Act or the regulations that is prescribed by the regulations as a disqualifying breach.,
PA proper supervision,PA02,32,P3'D2,Duty of licensee and person in charge to properly supervise business,"sa,duty","(1)  A licensee must properly supervise the business carried on by the licensee.
(2)  A licensee employed by another licensee (the principal licensee) as the person in charge of business at a place of business of the principal licensee must properly supervise the business of the principal licensee carried on at that place.
(3)  The requirement to properly supervise the conduct of business includes the following requirements:
(a)  a requirement to properly supervise persons engaged in the business,
(b)  a requirement to establish procedures designed to ensure that the provisions of this Act and any other laws relevant to the conduct of that business are complied with,
(c)  a requirement to monitor the conduct of business in a manner that will ensure as far as practicable that those procedures are complied with.
(4)  The Secretary may from time to time issue and notify to licensees guidelines as to what constitutes the proper supervision of the business of a licensee. A failure to comply with the requirements of any such guidelines in connection with the supervision of a business constitutes a failure to properly supervise the business.
(5)  A reference in this section to a person who is engaged in a business carried on by a licensee is a reference to a person:
(a)  who is engaged in the business as an employee of the licensee, or
(b)  who is engaged by the licensee, other than as an employee of the licensee, to provide services in the course of the business, or
(c)  whose services are provided to the licensee in the course of the business, other than as an employee of the licensee, under an arrangement entered into by the licensee with another person.
Maximum penalty:
(a)  200 penalty units in the case of a corporation, or
(b)  100 penalty units in any other case.",
PA supervising,PA02,32(3),P3'D2,Duty of licensee and person in charge to properly supervise business (3),"sa,def","The requirement to properly supervise the conduct of business includes the following requirements:
(a)  a requirement to properly supervise persons engaged in the business,
(b)  a requirement to establish procedures designed to ensure that the provisions of this Act and any other laws relevant to the conduct of that business are complied with,
(c)  a requirement to monitor the conduct of business in a manner that will ensure as far as practicable that those procedures are complied with.",
PA liscensee rules,PA02,37,P3'D2,Rules of conduct for licensee’s business,"sa,offence","(1)  The regulations may prescribe rules of conduct to be observed in the course of the carrying on of business or the exercise of functions under a licence or certificate of registration.
(2)  A licensee or registered person who without reasonable excuse contravenes a rule of conduct prescribed for the purposes of this section is guilty of an offence.


Maximum penalty:(a)  100 penalty units in the case of a corporation, or
(b)  50 penalty units in any other case.","PA Knows legislation,PA Fiduciary obligation,PA Fairness,PA Diligence,PA Harassment,PA Client interests,PA According authority,PA According instruction,PA Employees comply,PA Conflict,PA Referrals,PA Mislead solicitation,PA Act representation,SMA Collection agent,SMA Specific instruction,PA Agency agreement,SMA Agency agreement"
PA employee liable,PA02,41,P3'D3,Liability of licensee for acts of employees,"sa,def","A licensee who employs a person at any place of business of the licensee is responsible, in tort and in contract, for anything done or not done by the person:
(a)  within the scope of the employee’s authority, or
(b)  for the benefit, or the purported or intended benefit, of the licensee or the licensee’s business.",
PA ad misrepresent,PA02,52,P3'D5,Misrepresentation by licensee or registered person,"sa,offence","(1)  A person who, while exercising or performing any function as a licensee or registered person, by any statement, representation or promise that is false, misleading or deceptive (whether to the knowledge of the person or not) or by any concealment of a material fact (whether intended or not), induces any other person to enter into any contract or arrangement is guilty of an offence against this Act.
Maximum penalty: 200 penalty units.
(2)  Without limiting the generality of subsection (1), a statement, representation or promise is taken to be false, misleading or deceptive if it is of such a nature that it would reasonably tend to lead to a belief in the existence of a state of affairs that does not in fact exist, whether or not the statement, representation or promise indicates that the state of affairs does exist.
(3)  It is a sufficient defence to a prosecution for an offence under this section if the defendant proves that the defendant did not know, and had no reasonable cause to suspect, that the statement, representation or promise was false, misleading or deceptive.",
